"site_code","plot_id","treatment_code","sample_date","season_year","tissue_type","instrument","isotope_element","concentration","source_file"
"EME","66","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","31P",1061.758,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EMW","64","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","31P",2085.238,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"LDP","5","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","31P",748.122,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"WTM","71","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","31P",1258.769,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCN","18","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","31P",625.393,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCS","24","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","31P",587.747,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"PWP","33","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","31P",481.7,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MVP","38","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","31P",608.696,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SRR","13","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","31P",852.997,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"UMP","9","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","31P",1175.237,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SME","29","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","31P",558.583,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SMW","44","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","31P",786.367,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"DBG","50","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","39K",17494.033,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNE","51","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","39K",18363.493,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNW","60","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","39K",19479.769,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EME","66","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","39K",17268.409,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EMW","64","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","39K",19736.536,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"LDP","5","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","39K",14839.858,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"WTM","71","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","39K",18028.059,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCN","18","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","39K",20290.881,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCS","24","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","39K",10324.111,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"PWP","33","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","39K",9456.907,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MVP","38","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","39K",14140.054,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SRR","13","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","39K",20400.916,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"UMP","9","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","39K",17167.722,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SME","29","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","39K",18867.264,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SMW","44","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","39K",13895.659,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"DBG","50","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","44Ca",21591.09,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNE","51","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","44Ca",20389.457,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNW","60","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","44Ca",14913.295,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EME","66","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","44Ca",17652.415,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EMW","64","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","44Ca",16946.92,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"LDP","5","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","44Ca",18790.036,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"WTM","71","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","44Ca",17396.726,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCN","18","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","44Ca",13714.623,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCS","24","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","44Ca",22936.759,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"PWP","33","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","44Ca",26096.025,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MVP","38","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","44Ca",27187.38,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SRR","13","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","44Ca",15773.196,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"UMP","9","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","44Ca",15981.013,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SME","29","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","44Ca",15772.674,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SMW","44","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","44Ca",17334.349,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"DBG","50","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","48Ti",98.767,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNE","51","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","48Ti",86.467,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNW","60","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","48Ti",69.249,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EME","66","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","48Ti",81.116,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EMW","64","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","48Ti",74.893,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"LDP","5","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","48Ti",86.754,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"WTM","71","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","48Ti",82.073,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCN","18","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","48Ti",66.352,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCS","24","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","48Ti",101.7,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"PWP","33","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","48Ti",119.441,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MVP","38","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","48Ti",119.777,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SRR","13","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","48Ti",72.585,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"UMP","9","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","48Ti",72.468,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SME","29","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","48Ti",74.309,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SMW","44","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","48Ti",84.958,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"DBG","50","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","51V",0.802,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNE","51","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","51V",0.59,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNW","60","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","51V",0.666,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EME","66","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","51V",0.753,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EMW","64","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","51V",0.61,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"LDP","5","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","51V",0.658,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"WTM","71","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","51V",0.665,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCN","18","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","51V",0.735,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCS","24","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","51V",0.658,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"PWP","33","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","51V",0.761,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MVP","38","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","51V",0.716,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SRR","13","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","51V",0.577,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"UMP","9","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","51V",0.561,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SME","29","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","51V",0.677,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SMW","44","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","51V",0.793,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"DBG","50","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","52Cr",1.717,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNE","51","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","52Cr",1.381,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNW","60","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","52Cr",1.459,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EME","66","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","52Cr",1.684,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EMW","64","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","52Cr",1.415,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"LDP","5","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","52Cr",1.353,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"WTM","71","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","52Cr",1.228,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCN","18","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","52Cr",1.374,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCS","24","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","52Cr",1.368,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"PWP","33","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","52Cr",1.457,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MVP","38","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","52Cr",1.432,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SRR","13","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","52Cr",1.183,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"UMP","9","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","52Cr",1.368,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SME","29","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","52Cr",1.467,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SMW","44","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","52Cr",1.318,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"DBG","50","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","55Mn",38.858,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNE","51","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","55Mn",43.627,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNW","60","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","55Mn",45.511,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EME","66","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","55Mn",45.329,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EMW","64","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","55Mn",39.016,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"LDP","5","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","55Mn",35.374,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"WTM","71","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","55Mn",49.883,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCN","18","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","55Mn",28.42,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCS","24","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","55Mn",45.178,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"PWP","33","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","55Mn",60.094,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MVP","38","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","55Mn",67.141,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SRR","13","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","55Mn",58.725,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"UMP","9","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","55Mn",50.237,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SME","29","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","55Mn",24.387,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SMW","44","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","55Mn",47.753,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"DBG","50","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","56Fe",382.1,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNE","51","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","56Fe",202.518,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNW","60","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","56Fe",256.493,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EME","66","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","56Fe",280.641,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EMW","64","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","56Fe",228.632,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"LDP","5","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","56Fe",264.136,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"WTM","71","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","56Fe",427.514,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCN","18","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","56Fe",365.684,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCS","24","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","56Fe",257.036,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"PWP","33","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","56Fe",414.797,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MVP","38","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","56Fe",337.207,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SRR","13","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","56Fe",251.737,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"UMP","9","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","56Fe",247.785,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SME","29","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","56Fe",301.09,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SMW","44","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","56Fe",388.804,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"DBG","50","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","59Co",0.189,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNE","51","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","59Co",0.103,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNW","60","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","59Co",0.157,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EME","66","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","59Co",0.255,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EMW","64","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","59Co",0.173,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"LDP","5","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","59Co",0.108,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"WTM","71","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","59Co",0.157,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCN","18","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","59Co",0.165,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCS","24","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","59Co",0.176,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"PWP","33","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","59Co",0.184,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MVP","38","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","59Co",0.194,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SRR","13","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","59Co",0.184,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"UMP","9","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","59Co",0.122,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SME","29","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","59Co",0.153,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SMW","44","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","59Co",0.178,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"DBG","50","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","60Ni",1.082,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNE","51","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","60Ni",1.014,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNW","60","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","60Ni",1.401,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EME","66","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","60Ni",2.067,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EMW","64","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","60Ni",2.023,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"LDP","5","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","60Ni",0.581,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"WTM","71","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","60Ni",1.317,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCN","18","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","60Ni",1.269,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCS","24","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","60Ni",1.636,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"PWP","33","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","60Ni",1.057,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MVP","38","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","60Ni",1.293,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SRR","13","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","60Ni",2.545,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"UMP","9","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","60Ni",1.25,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SME","29","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","60Ni",0.957,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SMW","44","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","60Ni",1.519,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"DBG","50","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","65Cu",10.334,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNE","51","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","65Cu",6.782,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNW","60","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","65Cu",12.289,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EME","66","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","65Cu",9.192,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EMW","64","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","65Cu",8.9,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"LDP","5","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","65Cu",9.051,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"WTM","71","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","65Cu",10.698,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCN","18","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","65Cu",7.292,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCS","24","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","65Cu",5.711,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"PWP","33","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","65Cu",11.303,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MVP","38","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","65Cu",8.876,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SRR","13","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","65Cu",8.645,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"UMP","9","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","65Cu",5.336,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SME","29","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","65Cu",8.712,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SMW","44","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","65Cu",8.713,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"DBG","50","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","68Zn",13.258,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNE","51","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","68Zn",6.404,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNW","60","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","68Zn",7.222,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EME","66","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","68Zn",3.939,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EMW","64","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","68Zn",3.705,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
